uri,isoLanguage,label,preferred_label_hu,preferred_label_et,preferred_label_fi,preferred_label_cs,preferred_label_sk,preferred_label_lt,preferred_label_lv,preferred_label_mt,preferred_label_en,preferred_label_da,preferred_label_nl,preferred_label_sv,preferred_label_hr,preferred_label_sl,preferred_label_pl,preferred_label_de,preferred_label_ro,preferred_label_it,preferred_label_pt,preferred_label_es,preferred_label_fr,preferred_label_ga,preferred_label_el,preferred_label_bg,synonym_hu,synonym_et,synonym_fi,synonym_cs,synonym_sk,synonym_lt,synonym_lv,synonym_mt,synonym_en,synonym_da,synonym_nl,synonym_sv,synonym_hr,synonym_sl,synonym_pl,synonym_de,synonym_ro,synonym_it,synonym_pt,synonym_es,synonym_fr,synonym_ga,synonym_el,synonym_bg
http://data.europarl.europa.eu/authority/civility/HRA,fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/NTI,fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/RVA,fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/UR,hu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/URHOLGY,hu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/KUNDZE,lv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/KUNGS,lv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/AVV.,it,Avv.,,,,,,,,,,,,,,,,,,Avv.,,,,,,,,,,,,,,,,,,,,,,,,Avvocato,,,,,,
http://data.europarl.europa.eu/authority/civility/BAR.,fr,Bar.,,,,,,,,,,,,,,,,,,,,,Bar.,,,,,,,,,,,,,,,,,,,,,,,,Baron,,,
http://data.europarl.europa.eu/authority/civility/BARS.,en,Baroness,,,,,,,,,Baroness,,,,,,,,,,,,,,,,,,,,,,,,Baroness,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/OMRI,it,Cavaliere della Rep. – Commendatore della Rep.,,,,,,,,,,,,,,,,,,Cavaliere della Rep. – Commendatore della Rep.,,,,,,,,,,,,,,,,,,,,,,,,Cavaliere della Rep. – Commendatore della Rep.,,,,,,
http://data.europarl.europa.eu/authority/civility/DAME,en,Dame,,,,,,,,,Dame,,,,,,,,,,,,,,,,,,,,,,,,Dame,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/DE%20HEER,nl,De Heer,,,,,,,,,,,De Heer,,,,,,,,,,,,,,,,,,,,,,,,De Heer,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/DI,ro,Dl.,,,,,,,,,,,,,,,,,Dl.,,,,,,,,,,,,,,,,,,,,,,,,Dl.,,,,,,,
http://data.europarl.europa.eu/authority/civility/D-NA,ro,Dna,,,,,,,,,,,,,,,,,Dna,,,,,,,,,,,,,,,,,,,,,,,,Doamnei,,,,,,,
http://data.europarl.europa.eu/authority/civility/DONA,es,Dona,,,,,,,,,,,,,,,,,,,,Dona,,,,,,,,,,,,,,,,,,,,,,,,Dona,,,,
http://data.europarl.europa.eu/authority/civility/DOTT.,it,Dott.,,,,,,,,,,,,,,,,,,Dott.,,,,,,,,,,,,,,,,,,,,,,,,Dottore,,,,,,
http://data.europarl.europa.eu/authority/civility/DR.,de,Dr.,,,,,,,,,,,,,,,,Dr.,,,,,,,,,,,,,,,,,,,,,,,,Doktor,,,,,,,,
http://data.europarl.europa.eu/authority/civility/DR,en,Dr.,,,,,,,,,Dr.,,,,,,,,,,,,,,,,,,,,,,,,Doctor,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/DR.PROF.,de,Dr.Prof.,,,,,,,,,,,,,,,,Dr.Prof.,,,,,,,,,,,,,,,,,,,,,,,,Doktor Professor,,,,,,,,
http://data.europarl.europa.eu/authority/civility/DR.SA,it,Dr.sa,,,,,,,,,,,,,,,,,,Dr.sa,,,,,,,,,,,,,,,,,,,,,,,,Dottoressa,,,,,,
http://data.europarl.europa.eu/authority/civility/ESQ.,en,Esq.,,,,,,,,,Esq.,,,,,,,,,,,,,,,,,,,,,,,,Esquire,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/FR.,de,Frau,,,,,,,,,,,,,,,,Frau,,,,,,,,,,,,,,,,,,,,,,,,Frau,,,,,,,,
http://data.europarl.europa.eu/authority/civility/FRK.,sv,Frk.,,,,,,,,,,,,Frk.,,,,,,,,,,,,,,,,,,,,,,,,Fröken,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/FRL.,de,Frl.,,,,,,,,,,,,,,,,Frl.,,,,,,,,,,,,,,,,,,,,,,,,Fräulein,,,,,,,,
http://data.europarl.europa.eu/authority/civility/FRL.DR.,de,Frl.Dr.,,,,,,,,,,,,,,,,Frl.Dr.,,,,,,,,,,,,,,,,,,,,,,,,Fraulein Doktor,,,,,,,,
http://data.europarl.europa.eu/authority/civility/FR,da,Fru,,,,,,,,,,Fru,,,,,,,,,,,,,,,,,,,,,,,,Fru/Froeken,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/FRU,sv,Fru,,,,,,,,,,,,Fru,,,,,,,,,,,,,,,,,,,,,,,,Fru,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/GRAF,de,Graf,,,,,,,,,,,,,,,,Graf,,,,,,,,,,,,,,,,,,,,,,,,Graf,,,,,,,,
http://data.europarl.europa.eu/authority/civility/GRAF%20VON,de,Graf von,,,,,,,,,,,,,,,,Graf von,,,,,,,,,,,,,,,,,,,,,,,,Graf von,,,,,,,,
http://data.europarl.europa.eu/authority/civility/HR.,de,Herr,,,,,,,,,,,,,,,,Herr,,,,,,,,,,,,,,,,,,,,,,,,Herr,,,,,,,,
http://data.europarl.europa.eu/authority/civility/HRN.,de,Herrn,,,,,,,,,,,,,,,,Herrn,,,,,,,,,,,,,,,,,,,,,,,,Herrn,,,,,,,,
http://data.europarl.europa.eu/authority/civility/HR,et,Hr,,Hr,,,,,,,,,Hr,,,,,,,,,,,,,,,Hr,,,,,,,,,Hr.,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/HR,nl,Hr,,Hr,,,,,,,,,Hr,,,,,,,,,,,,,,,Hr,,,,,,,,,Hr.,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/HR.DA,da,Hr.,,,,,,,,,,Hr.,,,,,,,,,,,,,,,,,,,,,,,,Hr.,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/HERR,sv,Hr.,,,,,,,,,,,,Hr.,,,,,,,,,,,,,,,,,,,,,,,,Herr,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/IS-SINJURA,mt,Is-Sinjura,,,,,,,,Is-Sinjura,,,,,,,,,,,,,,,,,,,,,,,,Is-Sinjura,,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/IS-SUR,mt,Is-Sur,,,,,,,,Is-Sur,,,,,,,,,,,,,,,,,,,,,,,,Is-Sur,,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/L-ONOR.,mt,L-Onor.,,,,,,,,L-Onor.,,,,,,,,,,,,,,,,,,,,,,,,L-Onor.,,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/LADY,en,Lady,,,,,,,,,Lady,,,,,,,,,,,,,,,,,,,,,,,,Lady,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/M.,fr,M.,,,,,,,,,,,,,,,,,,,,,M.,,,,,,,,,,,,,,,,,,,,,,,,Monsieur,,,
http://data.europarl.europa.eu/authority/civility/M.%20ET%20MME,fr,M. et Mme,,,,,,,,,,,,,,,,,,,,,M. et Mme,,,,,,,,,,,,,,,,,,,,,,,,Monsieur et Madame,,,
http://data.europarl.europa.eu/authority/civility/M/MME,fr,M. ou Mme,,,,,,,,,,,,,,,,,,,,,M. ou Mme,,,,,,,,,,,,,,,,,,,,,,,,Monsieur ou Madame,,,
http://data.europarl.europa.eu/authority/civility/MM.,fr,MM.,,,,,,,,,,,,,,,,,,,,,MM.,,,,,,,,,,,,,,,,,,,,,,,,Messieurs,,,
http://data.europarl.europa.eu/authority/civility/MAD.,fr,Mad.,,,,,,,,,,,,,,,,,,,,,Mad.,,,,,,,,,,,,,,,,,,,,,,,,Mad.,,,
http://data.europarl.europa.eu/authority/civility/MAG.,de,Mag.,,,,,,,,,,,,,,,,Mag.,,,,,,,,,,,,,,,,,,,,,,,,Mag.,,,,,,,,
http://data.europarl.europa.eu/authority/civility/MARQ.,fr,Marq.,,,,,,,,,,,,,,,,,,,,,Marq.,,,,,,,,,,,,,,,,,,,,,,,,Marquis,,,
http://data.europarl.europa.eu/authority/civility/MARQ.EN,en,Marquess,,,,,,,,,Marquess,,,,,,,,,,,,,,,,,,,,,,,,Marquess,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/MEVR.,nl,Mevr.,,,,,,,,,,,Mevr.,,,,,,,,,,,,,,,,,,,,,,,,Mevrouw,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/MGR.,fr,Mgr.,,,,,,,,,,,,,,,,,,,,,Mgr.,,,,,,,,,,,,,,,,,,,,,,,,Monseigneur,,,
http://data.europarl.europa.eu/authority/civility/MLLE,fr,Mlle,,,,,,,,,,,,,,,,,,,,,Mlle,,,,,,,,,,,,,,,,,,,,,,,,Mademoiselle,,,
http://data.europarl.europa.eu/authority/civility/MME,fr,Mme,,,,,,,,,,,,,,,,,,,,,Mme,,,,,,,,,,,,,,,,,,,,,,,,Madame,,,
http://data.europarl.europa.eu/authority/civility/MR.,en,Mr,,,,,,,,,Mr,,,,,,,,,,,,,,,,,,,,,,,,Mister,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/MR1,ga,Mr,,,,,,,,,,,,,,,,,,,,,,Mr,,,,,,,,,,,,,,,,,,,,,,,,Mr,,
http://data.europarl.europa.eu/authority/civility/MR,nl,Mr,,,,,,,,,,,Mr,,,,,,,,,,,,,,,,,,,,,,,,De Heer,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/M/MEVR,nl,Mr / Mevr,,,,,,,,,,,Mr / Mevr,,,,,,,,,,,,,,,,,,,,,,,,Mr / Mevr,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/MR.%20&amp;%20MRS.,en,Mr. & Mrs.,,,,,,,,,Mr. & Mrs.,,,,,,,,,,,,,,,,,,,,,,,,Mr and Mrs,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/MRS.,en,Mrs,,,,,,,,,Mrs,,,,,,,,,,,,,,,,,,,,,,,,Mrs,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/MRS1,ga,Mrs,,,,,,,,,,,,,,,,,,,,,,Mrs,,,,,,,,,,,,,,,,,,,,,,,,Mrs,,
http://data.europarl.europa.eu/authority/civility/MS.,en,Ms,,,,,,,,,Ms,,,,,,,,,,,,,,,,,,,,,,,,Ms,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/ON.LE,it,On.,,,,,,,,,,,,,,,,,,On.,,,,,,,,,,,,,,,,,,,,,,,,Onorevole,,,,,,
http://data.europarl.europa.eu/authority/civility/PR,et,Pr,,Pr,,,,,,,,,,,,,,,,,,,,,,,,Pr,,,,,,,,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/PRI.,de,Pri.,,,,,,,,,,,,,,,,Pri.,,,,,,,,,,,,,,,,,,,,,,,,Prinzessin,,,,,,,,
http://data.europarl.europa.eu/authority/civility/PROF.,de,Prof.,,,,,,,,,,,,,,,,Prof.,,,,,,,,,,,,,,,,,,,,,,,,Professor,,,,,,,,
http://data.europarl.europa.eu/authority/civility/PROF.DR.,de,Prof.Dr.,,,,,,,,,,,,,,,,Prof.Dr.,,,,,,,,,,,,,,,,,,,,,,,,Professor Doktor,,,,,,,,
http://data.europarl.europa.eu/authority/civility/PROF.SA,it,Prof.sa,,,,,,,,,,,,,,,,,,Prof.sa,,,,,,,,,,,,,,,,,,,,,,,,Professoressa,,,,,,
http://data.europarl.europa.eu/authority/civility/PROF.SIR,en,Professor Sir,,,,,,,,,Professor Sir,,,,,,,,,,,,,,,,,,,,,,,,Professor Sir,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/RT.HON,en,Rt. Hon.,,,,,,,,,Rt. Hon.,,,,,,,,,,,,,,,,,,,,,,,,Right Honourable,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/S.E.,fr,S.E.,,,,,,,,,,,,,,,,,,,,,S.E.,,,,,,,,,,,,,,,,,,,,,,,,Son Excellence,,,
http://data.europarl.europa.eu/authority/civility/SIG.,it,Sig.,,,,,,,,,,,,,,,,,,Sig.,,,,,,,,,,,,,,,,,,,,,,,,Signor,,,,,,
http://data.europarl.europa.eu/authority/civility/SIG.NA,it,Sig.na,,,,,,,,,,,,,,,,,,Sig.na,,,,,,,,,,,,,,,,,,,,,,,,Signorina,,,,,,
http://data.europarl.europa.eu/authority/civility/SIG.RA,it,Sig.ra,,,,,,,,,,,,,,,,,,Sig.ra,,,,,,,,,,,,,,,,,,,,,,,,Signora,,,,,,
http://data.europarl.europa.eu/authority/civility/SIR,en,Sir,,,,,,,,,Sir,,,,,,,,,,,,,,,,,,,,,,,,Sir,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/SR.,es,Sr.,,,,,,,,,,,,,,,,,,,,Sr.,,,,,,,,,,,,,,,,,,,,,,,,Señor,,,,
http://data.europarl.europa.eu/authority/civility/SR2,pt,Sr.,,,,,,,,,,,,,,,,,,,Sr.,,,,,,,,,,,,,,,,,,,,,,,,Senhor,,,,,
http://data.europarl.europa.eu/authority/civility/SRA.,es,Sra.,,,,,,,,,,,,,,,,,,,,Sra.,,,,,,,,,,,,,,,,,,,,,,,,Señora,,,,
http://data.europarl.europa.eu/authority/civility/SRA2,pt,Sra.,,,,,,,,,,,,,,,,,,,Sra.,,,,,,,,,,,,,,,,,,,,,,,,Senhora,,,,,
http://data.europarl.europa.eu/authority/civility/SRA%20D.,pt,Sra.,,,,,,,,,,,,,,,,,,,Sra.,,,,,,,,,,,,,,,,,,,,,,,,Sra. D.,,,,,
http://data.europarl.europa.eu/authority/civility/SRTA.,es,Srta.,,,,,,,,,,,,,,,,,,,,Srta.,,,,,,,,,,,,,,,,,,,,,,,,Señorita,,,,
http://data.europarl.europa.eu/authority/civility/EARL,en,The Earl of,,,,,,,,,The Earl of,,,,,,,,,,,,,,,,,,,,,,,,The Earl of,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/HON.,en,The Hon.,,,,,,,,,The Hon.,,,,,,,,,,,,,,,,,,,,,,,,The Honorable,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/LORD,en,The Lord,,,,,,,,,The Lord,,,,,,,,,,,,,,,,,,,,,,,,The Lord,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/DR%20HAB.,pl,dr hab.,,,,,,,,,,,,,,,dr hab.,,,,,,,,,,,,,,,,,,,,,,,,dr hab.,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/GOSPODIN,hr,g.,,,,,,,,,,,,,g.,,,,,,,,,,,,,,,,,,,,,,,,Gospodin,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/G.,sl,g.,,,,,,,,,,,,,,g.,,,,,,,,,,,,,,,,,,,,,,,,g.,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/GA.,sl,ga.,,,,,,,,,,,,,,ga.,,,,,,,,,,,,,,,,,,,,,,,,ga.,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/GOSPODA,hr,gđa,,,,,,,,,,,,,gđa,,,,,,,,,,,,,,,,,,,,,,,,Gospođa,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/PAN,cs,p.,,,,pan,p.,,,,,,,,,,,,,,,,,,,,,,,pan,p.,,,,,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/PAN,pl,p.,,,,pan,p.,,,,,,,,,,,,,,,,,,,,,,,pan,p.,,,,,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/PAN,sk,p.,,,,pan,p.,,,,,,,,,,,,,,,,,,,,,,,pan,p.,,,,,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/PANI,cs,p.,,,,paní,p.,,,,,,,,,,,,,,,,,,,,,,,paní,p.,,,,,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/PANI,pl,p.,,,,paní,p.,,,,,,,,,,,,,,,,,,,,,,,paní,p.,,,,,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/PANI,sk,p.,,,,paní,p.,,,,,,,,,,,,,,,,,,,,,,,paní,p.,,,,,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/PONAS,lt,p.,,,,,,p.,,,,,,,,,,,,,,,,,,,,,,,,p.,,,,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/PONIA,lt,p.,,,,,,p.,,,,,,,,,,,,,,,,,,,,,,,,p.,,,,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/PAN,cs,pan,,,,pan,p.,,,,,,,,,,,,,,,,,,,,,,,pan,p.,,,,,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/PAN,pl,pan,,,,pan,p.,,,,,,,,,,,,,,,,,,,,,,,pan,p.,,,,,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/PAN,sk,pan,,,,pan,p.,,,,,,,,,,,,,,,,,,,,,,,pan,p.,,,,,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/PANI,cs,paní,,,,paní,p.,,,,,,,,,,,,,,,,,,,,,,,paní,p.,,,,,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/PANI,pl,paní,,,,paní,p.,,,,,,,,,,,,,,,,,,,,,,,paní,p.,,,,,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/PANI,sk,paní,,,,paní,p.,,,,,,,,,,,,,,,,,,,,,,,paní,p.,,,,,,,,,,,,,,,,,,,
http://data.europarl.europa.eu/authority/civility/KO.,el,κ.,,,,,,,,,,,,,,,,,,,,,,,κ.,,,,,,,,,,,,,,,,,,,,,,,,Κύριο,
http://data.europarl.europa.eu/authority/civility/KA,el,κα,,,,,,,,,,,,,,,,,,,,,,,κα,,,,,,,,,,,,,,,,,,,,,,,,Κυρία,
http://data.europarl.europa.eu/authority/civility/GZHA,bg,Г-жа,,,,,,,,,,,,,,,,,,,,,,,,Г-жа,,,,,,,,,,,,,,,,,,,,,,,,Г-жа
http://data.europarl.europa.eu/authority/civility/GN,bg,Г-н,,,,,,,,,,,,,,,,,,,,,,,,Г-н,,,,,,,,,,,,,,,,,,,,,,,,Г-н
