MEP,firstName,familyName,persId,Civility,Gender,Status,birthCountry,politicalGroup
http://data.europarl.europa.eu/person/MEP_101039,Paolo,Borchia,101039,Sig.,male,ACTIVE,Italy,http://data.europarl.europa.eu/org/group/ID-5588
http://data.europarl.europa.eu/person/MEP_101585,Niels,Fuglsang,101585,Hr.,male,ACTIVE,Denmark,http://data.europarl.europa.eu/org/group/S&amp;D-5154
http://data.europarl.europa.eu/person/MEP_103381,Terry,Reintke,103381,Frau,female,ACTIVE,Germany,http://data.europarl.europa.eu/org/group/Verts/ALE-5155
http://data.europarl.europa.eu/person/MEP_106936,Daniel,Freund,106936,Herr,male,ACTIVE,Germany,http://data.europarl.europa.eu/org/group/Verts/ALE-5155
http://data.europarl.europa.eu/person/MEP_107212,Andrey,Novakov,107212,Г-н,male,ACTIVE,Bulgaria,http://data.europarl.europa.eu/org/group/PPE-5153
http://data.europarl.europa.eu/person/MEP_112744,Tonino,Picula,112744,g.,male,ACTIVE,Croatia,http://data.europarl.europa.eu/org/group/S&amp;D-5154
http://data.europarl.europa.eu/person/MEP_112748,Biljana,Borzan,112748,gđa,female,ACTIVE,Croatia,http://data.europarl.europa.eu/org/group/S&amp;D-5154
http://data.europarl.europa.eu/person/MEP_113892,Eric,Andrieu,113892,M.,male,ACTIVE,France,http://data.europarl.europa.eu/org/group/S&amp;D-5154
http://data.europarl.europa.eu/person/MEP_114268,Nils,Torvalds,114268,Hr.,male,ACTIVE,Finland,http://data.europarl.europa.eu/org/group/Renew-5704
http://data.europarl.europa.eu/person/MEP_118859,Roberta,Metsola,118859,Is-Sinjura,female,ACTIVE,Malta,http://data.europarl.europa.eu/org/group/PPE-5153
http://data.europarl.europa.eu/person/MEP_118949,Ondřej,Kovařík,118949,p.,male,ACTIVE,Czechia,http://data.europarl.europa.eu/org/group/Renew-5704
http://data.europarl.europa.eu/person/MEP_118949,Ondřej,Kovařík,118949,pan,male,ACTIVE,Czechia,http://data.europarl.europa.eu/org/group/Renew-5704
http://data.europarl.europa.eu/person/MEP_119431,Ruža,Tomašić,119431,gđa,female,ACTIVE,Bosnia and Herzegovina,http://data.europarl.europa.eu/org/group/ECR-5148
http://data.europarl.europa.eu/person/MEP_120478,Martina,Michels,120478,Frau,female,ACTIVE,Germany,http://data.europarl.europa.eu/org/group/GUE/NGL-5151
http://data.europarl.europa.eu/person/MEP_123562,Charlie,Weimers,123562,Mr,male,ACTIVE,Sweden,http://data.europarl.europa.eu/org/group/ECR-5148
http://data.europarl.europa.eu/person/MEP_124691,Costas,Mavrides,124691,κ.,male,ACTIVE,Cyprus,http://data.europarl.europa.eu/org/group/S&amp;D-5154
http://data.europarl.europa.eu/person/MEP_124692,Demetris,Papadakis,124692,κ.,male,ACTIVE,Cyprus,http://data.europarl.europa.eu/org/group/S&amp;D-5154
http://data.europarl.europa.eu/person/MEP_124693,Pascal,Durand,124693,M.,male,ACTIVE,France,http://data.europarl.europa.eu/org/group/Renew-5704
http://data.europarl.europa.eu/person/MEP_124696,Andrus,Ansip,124696,Hr,male,ACTIVE,Estonia,http://data.europarl.europa.eu/org/group/Renew-5704
http://data.europarl.europa.eu/person/MEP_124700,Yana,Toom,124700,Pr,female,ACTIVE,Estonia,http://data.europarl.europa.eu/org/group/Renew-5704
http://data.europarl.europa.eu/person/MEP_124701,Luděk,Niedermayer,124701,p.,male,ACTIVE,Czechia,http://data.europarl.europa.eu/org/group/PPE-5153
http://data.europarl.europa.eu/person/MEP_124701,Luděk,Niedermayer,124701,pan,male,ACTIVE,Czechia,http://data.europarl.europa.eu/org/group/PPE-5153
http://data.europarl.europa.eu/person/MEP_124704,Stanislav,Polčák,124704,p.,male,ACTIVE,Czechia,http://data.europarl.europa.eu/org/group/PPE-5153
http://data.europarl.europa.eu/person/MEP_124704,Stanislav,Polčák,124704,pan,male,ACTIVE,Czechia,http://data.europarl.europa.eu/org/group/PPE-5153
http://data.europarl.europa.eu/person/MEP_124708,Dita,Charanzová,124708,p.,female,ACTIVE,Czechia,http://data.europarl.europa.eu/org/group/Renew-5704
http://data.europarl.europa.eu/person/MEP_124708,Dita,Charanzová,124708,paní,female,ACTIVE,Czechia,http://data.europarl.europa.eu/org/group/Renew-5704
http://data.europarl.europa.eu/person/MEP_124709,Martina,Dlabajová,124709,p.,female,ACTIVE,Czechia,http://data.europarl.europa.eu/org/group/Renew-5704
http://data.europarl.europa.eu/person/MEP_124709,Martina,Dlabajová,124709,paní,female,ACTIVE,Czechia,http://data.europarl.europa.eu/org/group/Renew-5704
http://data.europarl.europa.eu/person/MEP_124710,Michaela,Šojdrová,124710,p.,female,ACTIVE,Czechia,http://data.europarl.europa.eu/org/group/PPE-5153
http://data.europarl.europa.eu/person/MEP_124710,Michaela,Šojdrová,124710,paní,female,ACTIVE,Czechia,http://data.europarl.europa.eu/org/group/PPE-5153
http://data.europarl.europa.eu/person/MEP_124713,Tomáš,Zdechovský,124713,p.,male,ACTIVE,Czechia,http://data.europarl.europa.eu/org/group/PPE-5153
http://data.europarl.europa.eu/person/MEP_124713,Tomáš,Zdechovský,124713,pan,male,ACTIVE,Czechia,http://data.europarl.europa.eu/org/group/PPE-5153
http://data.europarl.europa.eu/person/MEP_124734,Cláudia,Monteiro de Aguiar,124734,Sra.,female,ACTIVE,Portugal,http://data.europarl.europa.eu/org/group/PPE-5153
http://data.europarl.europa.eu/person/MEP_124738,Gilles,Lebreton,124738,M.,male,ACTIVE,France,http://data.europarl.europa.eu/org/group/ID-5588
http://data.europarl.europa.eu/person/MEP_124739,Carlos,Zorrinho,124739,Sr.,male,ACTIVE,Portugal,http://data.europarl.europa.eu/org/group/S&amp;D-5154
http://data.europarl.europa.eu/person/MEP_124747,Pedro,Silva Pereira,124747,Sr.,male,ACTIVE,Portugal,http://data.europarl.europa.eu/org/group/S&amp;D-5154
http://data.europarl.europa.eu/person/MEP_124760,Nicolas,Bay,124760,M.,male,ACTIVE,France,http://data.europarl.europa.eu/org/group/ID-5588
http://data.europarl.europa.eu/person/MEP_124765,Joëlle,Mélin,124765,Mme,female,ACTIVE,France,http://data.europarl.europa.eu/org/group/ID-5588
http://data.europarl.europa.eu/person/MEP_124766,Petras,Auštrevičius,124766,p.,male,ACTIVE,Lithuania,http://data.europarl.europa.eu/org/group/Renew-5704
http://data.europarl.europa.eu/person/MEP_124770,Jean-François,Jalkh,124770,M.,male,ACTIVE,France,http://data.europarl.europa.eu/org/group/ID-5588
http://data.europarl.europa.eu/person/MEP_124771,Dominique,Bilde,124771,Mme,female,ACTIVE,France,http://data.europarl.europa.eu/org/group/ID-5588
http://data.europarl.europa.eu/person/MEP_124777,Tiziana,Beghin,124777,On.,female,ACTIVE,Italy,http://data.europarl.europa.eu/org/group/NI-5152
http://data.europarl.europa.eu/person/MEP_124779,Eleonora,Evi,124779,On.,female,ACTIVE,Italy,http://data.europarl.europa.eu/org/group/NI-5152
http://data.europarl.europa.eu/person/MEP_124780,Marco,Zanni,124780,On.,male,ACTIVE,Italy,http://data.europarl.europa.eu/org/group/ID-5588
http://data.europarl.europa.eu/person/MEP_124781,Alfred,Sant,124781,Is-Sur,male,ACTIVE,Malta,http://data.europarl.europa.eu/org/group/S&amp;D-5154
http://data.europarl.europa.eu/person/MEP_124784,Dan,Nica,124784,Dl.,male,ACTIVE,Romania,http://data.europarl.europa.eu/org/group/S&amp;D-5154
http://data.europarl.europa.eu/person/MEP_124785,Maria,Grapini,124785,Dna,female,ACTIVE,Romania,http://data.europarl.europa.eu/org/group/S&amp;D-5154
http://data.europarl.europa.eu/person/MEP_124799,Alessandra,Moretti,124799,On.,female,ACTIVE,Italy,http://data.europarl.europa.eu/org/group/S&amp;D-5154
http://data.europarl.europa.eu/person/MEP_124802,Siegfried,Mureşan,124802,Dl.,male,ACTIVE,Romania,http://data.europarl.europa.eu/org/group/PPE-5153
http://data.europarl.europa.eu/person/MEP_124806,David,McAllister,124806,Herr,male,ACTIVE,Germany,http://data.europarl.europa.eu/org/group/PPE-5153
http://data.europarl.europa.eu/person/MEP_124807,Jens,Gieseke,124807,Herr,male,ACTIVE,Germany,http://data.europarl.europa.eu/org/group/PPE-5153
http://data.europarl.europa.eu/person/MEP_124808,Norbert,Lins,124808,Herr,male,ACTIVE,Germany,http://data.europarl.europa.eu/org/group/PPE-5153
http://data.europarl.europa.eu/person/MEP_124809,Sven,Schulze,124809,Herr,male,ACTIVE,Germany,http://data.europarl.europa.eu/org/group/PPE-5153
http://data.europarl.europa.eu/person/MEP_124812,Fabio Massimo,Castaldo,124812,On.,male,ACTIVE,Italy,http://data.europarl.europa.eu/org/group/NI-5152
http://data.europarl.europa.eu/person/MEP_124814,Simona,Bonafè,124814,On.,female,ACTIVE,Italy,http://data.europarl.europa.eu/org/group/S&amp;D-5154
http://data.europarl.europa.eu/person/MEP_124821,Nicola,Danti,124821,On.,male,ACTIVE,Italy,http://data.europarl.europa.eu/org/group/Renew-5704
http://data.europarl.europa.eu/person/MEP_124822,Dietmar,Köster,124822,Dr.,male,ACTIVE,Germany,http://data.europarl.europa.eu/org/group/S&amp;D-5154
http://data.europarl.europa.eu/person/MEP_124828,Fulvio,Martusciello,124828,Avv.,male,ACTIVE,Italy,http://data.europarl.europa.eu/org/group/PPE-5153
http://data.europarl.europa.eu/person/MEP_124831,Isabella,Adinolfi,124831,On.,female,ACTIVE,Italy,http://data.europarl.europa.eu/org/group/NI-5152
http://data.europarl.europa.eu/person/MEP_124833,Laura,Ferrara,124833,On.,female,ACTIVE,Italy,http://data.europarl.europa.eu/org/group/NI-5152
http://data.europarl.europa.eu/person/MEP_124834,Martin,Sonneborn,124834,Herr,male,ACTIVE,Germany,http://data.europarl.europa.eu/org/group/NI-5152
http://data.europarl.europa.eu/person/MEP_124835,Rosa,D'Amato,124835,On.,female,ACTIVE,Italy,http://data.europarl.europa.eu/org/group/NI-5152
http://data.europarl.europa.eu/person/MEP_124836,Maria,Noichl,124836,Frau,female,ACTIVE,Germany,http://data.europarl.europa.eu/org/group/S&amp;D-5154
http://data.europarl.europa.eu/person/MEP_124837,Joachim,Schuster,124837,Dr.,male,ACTIVE,Germany,http://data.europarl.europa.eu/org/group/S&amp;D-5154
http://data.europarl.europa.eu/person/MEP_124844,Piernicola,Pedicini,124844,Dott.,male,ACTIVE,Italy,http://data.europarl.europa.eu/org/group/NI-5152
http://data.europarl.europa.eu/person/MEP_124846,Pina,Picierno,124846,On.,female,ACTIVE,Italy,http://data.europarl.europa.eu/org/group/S&amp;D-5154
http://data.europarl.europa.eu/person/MEP_124850,Emil,Radev,124850,Г-н,male,ACTIVE,Bulgaria,http://data.europarl.europa.eu/org/group/PPE-5153
http://data.europarl.europa.eu/person/MEP_124852,Sergei,Stanishev,124852,Г-н,male,ACTIVE,Bulgaria,http://data.europarl.europa.eu/org/group/S&amp;D-5154
http://data.europarl.europa.eu/person/MEP_124856,Ignazio,Corrao,124856,On.,male,ACTIVE,Italy,http://data.europarl.europa.eu/org/group/NI-5152
http://data.europarl.europa.eu/person/MEP_124861,Caterina,Chinnici,124861,On.,female,ACTIVE,Italy,http://data.europarl.europa.eu/org/group/S&amp;D-5154
http://data.europarl.europa.eu/person/MEP_124862,Ulrike,Müller,124862,Frau,female,ACTIVE,Germany,http://data.europarl.europa.eu/org/group/Renew-5704
http://data.europarl.europa.eu/person/MEP_124866,Ilhan,Kyuchyuk,124866,Г-н,male,ACTIVE,Bulgaria,http://data.europarl.europa.eu/org/group/Renew-5704
http://data.europarl.europa.eu/person/MEP_124867,Brando,Benifei,124867,On.,male,ACTIVE,Italy,http://data.europarl.europa.eu/org/group/S&amp;D-5154
http://data.europarl.europa.eu/person/MEP_124872,Morten,Petersen,124872,Hr.,male,ACTIVE,Denmark,http://data.europarl.europa.eu/org/group/Renew-5704
http://data.europarl.europa.eu/person/MEP_124873,Angel,Dzhambazki,124873,Г-н,male,ACTIVE,Bulgaria,http://data.europarl.europa.eu/org/group/ECR-5148
http://data.europarl.europa.eu/person/MEP_124877,Jadwiga,Wiśniewska,124877,p.,female,ACTIVE,Poland,http://data.europarl.europa.eu/org/group/ECR-5148
http://data.europarl.europa.eu/person/MEP_124877,Jadwiga,Wiśniewska,124877,paní,female,ACTIVE,Poland,http://data.europarl.europa.eu/org/group/ECR-5148
http://data.europarl.europa.eu/person/MEP_124884,Kosma,Złotowski,124884,Mr,male,ACTIVE,Poland,http://data.europarl.europa.eu/org/group/ECR-5148
http://data.europarl.europa.eu/person/MEP_124895,Krzysztof,Hetman,124895,p.,male,ACTIVE,Poland,http://data.europarl.europa.eu/org/group/PPE-5153
http://data.europarl.europa.eu/person/MEP_124895,Krzysztof,Hetman,124895,pan,male,ACTIVE,Poland,http://data.europarl.europa.eu/org/group/PPE-5153
http://data.europarl.europa.eu/person/MEP_124929,Ivan,Štefanec,124929,p.,male,ACTIVE,Slovakia,http://data.europarl.europa.eu/org/group/PPE-5153
http://data.europarl.europa.eu/person/MEP_124929,Ivan,Štefanec,124929,pan,male,ACTIVE,Slovakia,http://data.europarl.europa.eu/org/group/PPE-5153
http://data.europarl.europa.eu/person/MEP_124934,Monika,Vana,124934,Dr.,female,ACTIVE,Austria,http://data.europarl.europa.eu/org/group/Verts/ALE-5155
http://data.europarl.europa.eu/person/MEP_124936,Maria,Arena,124936,Mme,female,ACTIVE,Belgium,http://data.europarl.europa.eu/org/group/S&amp;D-5154
http://data.europarl.europa.eu/person/MEP_124970,Miriam,Dalli,124970,Is-Sinjura,female,ACTIVE,Malta,http://data.europarl.europa.eu/org/group/S&amp;D-5154
http://data.europarl.europa.eu/person/MEP_124972,Ernest,Urtasun,124972,Sr.,male,ACTIVE,Spain,http://data.europarl.europa.eu/org/group/Verts/ALE-5155
http://data.europarl.europa.eu/person/MEP_124973,Gerolf,Annemans,124973,De Heer,male,ACTIVE,Belgium,http://data.europarl.europa.eu/org/group/ID-5588
http://data.europarl.europa.eu/person/MEP_124985,Luke Ming,Flanagan,124985,Mr,male,ACTIVE,Ireland,http://data.europarl.europa.eu/org/group/GUE/NGL-5151
http://data.europarl.europa.eu/person/MEP_124988,Deirdre,Clune,124988,Mrs,female,ACTIVE,Ireland,http://data.europarl.europa.eu/org/group/PPE-5153
http://data.europarl.europa.eu/person/MEP_124989,Fredrick,Federley,124989,Hr.,male,ACTIVE,Sweden,http://data.europarl.europa.eu/org/group/Renew-5704
http://data.europarl.europa.eu/person/MEP_124991,Jytte,Guteland,124991,Fru,female,ACTIVE,Sweden,http://data.europarl.europa.eu/org/group/S&amp;D-5154
http://data.europarl.europa.eu/person/MEP_124992,Malin,Björk,124992,Fru,female,ACTIVE,Sweden,http://data.europarl.europa.eu/org/group/GUE/NGL-5151
http://data.europarl.europa.eu/person/MEP_124996,Peter,Lundgren,124996,Hr.,male,ACTIVE,Sweden,http://data.europarl.europa.eu/org/group/ECR-5148
http://data.europarl.europa.eu/person/MEP_125001,Harald,Vilimsky,125001,Herr,male,ACTIVE,Austria,http://data.europarl.europa.eu/org/group/ID-5588
http://data.europarl.europa.eu/person/MEP_125004,Franc,Bogovič,125004,g.,male,ACTIVE,Slovenia,http://data.europarl.europa.eu/org/group/PPE-5153
http://data.europarl.europa.eu/person/MEP_125005,Javier,Nart,125005,Sr.,male,ACTIVE,Spain,http://data.europarl.europa.eu/org/group/Renew-5704
http://data.europarl.europa.eu/person/MEP_125012,Daniel,Buda,125012,Dl.,male,ACTIVE,Romania,http://data.europarl.europa.eu/org/group/PPE-5153
http://data.europarl.europa.eu/person/MEP_125020,Paul,Tang,125020,Dr.,male,ACTIVE,Netherlands,http://data.europarl.europa.eu/org/group/S&amp;D-5154
http://data.europarl.europa.eu/person/MEP_125021,Agnes,Jongerius,125021,Mevr.,female,ACTIVE,Netherlands,http://data.europarl.europa.eu/org/group/S&amp;D-5154
http://data.europarl.europa.eu/person/MEP_125023,Anja,Hazekamp,125023,Mevr.,female,ACTIVE,Netherlands,http://data.europarl.europa.eu/org/group/GUE/NGL-5151
http://data.europarl.europa.eu/person/MEP_125025,Marcel,de Graaff,125025,De Heer,male,ACTIVE,Netherlands,http://data.europarl.europa.eu/org/group/ID-5588
http://data.europarl.europa.eu/person/MEP_125027,Esteban,González Pons,125027,Sr.,male,ACTIVE,Spain,http://data.europarl.europa.eu/org/group/PPE-5153
http://data.europarl.europa.eu/person/MEP_125030,Annie,Schreijer-Pierik,125030,Mevr.,female,ACTIVE,Netherlands,http://data.europarl.europa.eu/org/group/PPE-5153
http://data.europarl.europa.eu/person/MEP_125038,Maite,Pagazaurtundúa,125038,Sra.,female,ACTIVE,Spain,http://data.europarl.europa.eu/org/group/Renew-5704
http://data.europarl.europa.eu/person/MEP_125042,Javi,López,125042,Sr.,male,ACTIVE,Spain,http://data.europarl.europa.eu/org/group/S&amp;D-5154
http://data.europarl.europa.eu/person/MEP_125043,Inma,Rodríguez-Piñero,125043,Sra.,female,ACTIVE,Spain,http://data.europarl.europa.eu/org/group/S&amp;D-5154
http://data.europarl.europa.eu/person/MEP_125045,Clara,Aguilera,125045,Sra.,female,ACTIVE,Spain,http://data.europarl.europa.eu/org/group/S&amp;D-5154
http://data.europarl.europa.eu/person/MEP_125046,Jonás,Fernández,125046,Sr.,male,ACTIVE,Spain,http://data.europarl.europa.eu/org/group/S&amp;D-5154
http://data.europarl.europa.eu/person/MEP_125063,Georgios,Kyrtsos,125063,κ.,male,ACTIVE,Greece,http://data.europarl.europa.eu/org/group/PPE-5153
http://data.europarl.europa.eu/person/MEP_125064,Maria,Spyraki,125064,κα,female,ACTIVE,Greece,http://data.europarl.europa.eu/org/group/PPE-5153
http://data.europarl.europa.eu/person/MEP_125065,Elissavet,Vozemberg-Vrionidi,125065,κα,female,ACTIVE,Greece,http://data.europarl.europa.eu/org/group/PPE-5153
http://data.europarl.europa.eu/person/MEP_125067,Theodoros,Zagorakis,125067,κ.,male,ACTIVE,Greece,http://data.europarl.europa.eu/org/group/PPE-5153
http://data.europarl.europa.eu/person/MEP_125068,Manolis,Kefalogiannis,125068,κ.,male,ACTIVE,Greece,http://data.europarl.europa.eu/org/group/PPE-5153
http://data.europarl.europa.eu/person/MEP_125093,Kostas,Papadakis,125093,κ.,male,ACTIVE,Greece,http://data.europarl.europa.eu/org/group/NI-5152
http://data.europarl.europa.eu/person/MEP_125104,Romana,Tomc,125104,ga.,female,ACTIVE,Slovenia,http://data.europarl.europa.eu/org/group/PPE-5153
http://data.europarl.europa.eu/person/MEP_125106,Johan,Van Overtveldt,125106,De Heer,male,ACTIVE,Belgium,http://data.europarl.europa.eu/org/group/ECR-5148
http://data.europarl.europa.eu/person/MEP_125109,Eva,Kaili,125109,κα,female,ACTIVE,Greece,http://data.europarl.europa.eu/org/group/S&amp;D-5154
http://data.europarl.europa.eu/person/MEP_125110,Nikos,Androulakis,125110,κ.,male,ACTIVE,Greece,http://data.europarl.europa.eu/org/group/S&amp;D-5154
http://data.europarl.europa.eu/person/MEP_125128,Iskra,Mihaylova,125128,Г-жа,female,ACTIVE,Bulgaria,http://data.europarl.europa.eu/org/group/Renew-5704
http://data.europarl.europa.eu/person/MEP_125214,Bronis,Ropė,125214,p.,male,ACTIVE,Lithuania,http://data.europarl.europa.eu/org/group/Verts/ALE-5155
http://data.europarl.europa.eu/person/MEP_125237,Marco,Zullo,125237,On.,male,ACTIVE,Italy,http://data.europarl.europa.eu/org/group/NI-5152
http://data.europarl.europa.eu/person/MEP_125670,Massimiliano,Salini,125670,On.,male,ACTIVE,Italy,http://data.europarl.europa.eu/org/group/PPE-5153
http://data.europarl.europa.eu/person/MEP_125706,Jiří,Pospíšil,125706,p.,male,ACTIVE,Czechia,http://data.europarl.europa.eu/org/group/PPE-5153
http://data.europarl.europa.eu/person/MEP_125706,Jiří,Pospíšil,125706,pan,male,ACTIVE,Czechia,http://data.europarl.europa.eu/org/group/PPE-5153
http://data.europarl.europa.eu/person/MEP_127096,Domènec,Ruiz Devesa,127096,Mr,male,ACTIVE,Spain,http://data.europarl.europa.eu/org/group/S&amp;D-5154
http://data.europarl.europa.eu/person/MEP_128483,Markus,Buchheit,128483,Herr,male,ACTIVE,Germany,http://data.europarl.europa.eu/org/group/ID-5588
http://data.europarl.europa.eu/person/MEP_129073,Urmas,Paet,129073,Hr,male,ACTIVE,Estonia,http://data.europarl.europa.eu/org/group/Renew-5704
http://data.europarl.europa.eu/person/MEP_130100,Hilde,Vautmans,130100,Mevr.,female,ACTIVE,Belgium,http://data.europarl.europa.eu/org/group/Renew-5704
http://data.europarl.europa.eu/person/MEP_130833,Stelios,Kouloglou,130833,κ.,male,ACTIVE,Greece,http://data.europarl.europa.eu/org/group/GUE/NGL-5151
http://data.europarl.europa.eu/person/MEP_131507,Miguel,Urbán Crespo,131507,Sr.,male,ACTIVE,Spain,http://data.europarl.europa.eu/org/group/GUE/NGL-5151
http://data.europarl.europa.eu/person/MEP_132191,Gunnar,Beck,132191,Herr,male,ACTIVE,Germany,http://data.europarl.europa.eu/org/group/ID-5588
http://data.europarl.europa.eu/person/MEP_134605,Ramona,Strugariu,134605,Dna,female,ACTIVE,Romania,http://data.europarl.europa.eu/org/group/Renew-5704
http://data.europarl.europa.eu/person/MEP_183338,Jakop,Dalunde,183338,Hr.,male,ACTIVE,Sweden,http://data.europarl.europa.eu/org/group/Verts/ALE-5155
http://data.europarl.europa.eu/person/MEP_183793,Angelo,Ciocca,183793,On.,male,ACTIVE,Italy,http://data.europarl.europa.eu/org/group/ID-5588
http://data.europarl.europa.eu/person/MEP_183916,Alexandra,Geese,183916,Frau,female,ACTIVE,Germany,http://data.europarl.europa.eu/org/group/Verts/ALE-5155
http://data.europarl.europa.eu/person/MEP_185341,Željana,Zovko,185341,gđa,female,ACTIVE,Bosnia and Herzegovina,http://data.europarl.europa.eu/org/group/PPE-5153
http://data.europarl.europa.eu/person/MEP_1854,Constanze,Krehl,1854,Frau,female,ACTIVE,Germany,http://data.europarl.europa.eu/org/group/S&amp;D-5154
http://data.europarl.europa.eu/person/MEP_185619,Tiemo,Wölken,185619,Herr,male,ACTIVE,Germany,http://data.europarl.europa.eu/org/group/S&amp;D-5154
http://data.europarl.europa.eu/person/MEP_185771,Tom,Vandendriessche,185771,M.,male,ACTIVE,Belgium,http://data.europarl.europa.eu/org/group/ID-5588
http://data.europarl.europa.eu/person/MEP_185974,Jordi,Solé,185974,Sr.,male,ACTIVE,Spain,http://data.europarl.europa.eu/org/group/Verts/ALE-5155
http://data.europarl.europa.eu/person/MEP_187917,Marc,Botenga,187917,M.,male,ACTIVE,Belgium,http://data.europarl.europa.eu/org/group/GUE/NGL-5151
http://data.europarl.europa.eu/person/MEP_188945,Dennis,Radtke,188945,Herr,male,ACTIVE,Germany,http://data.europarl.europa.eu/org/group/PPE-5153
